Trial:	normal_accelerometer_t1.txt
Phone/Tablet Model:	Samsung SM-A515F

Sensor Information
Name:	STM LSM6DSL Accelerometer
Maximum Range:	78.4532m/s²
Resolution:	0.0023942017m/s²

Generated by SensorData, Version1.8.3.4
Author: Vipul Lugade
Email: SensorDataHelp@gmail.com
Website: www.matlabgeeks.com

Unix Time (ms since Jan 1, 1970)	X	Y	Z
1666031867568	-2.293645143508911	5.166687488555908	10.371682167053223
1666031867587	-1.7094600200653076	5.140350818634033	8.183381080627441
1666031867607	-1.314416766166687	5.061342239379883	7.529764175415039
1666031867627	-1.5275006294250488	5.564124584197998	7.134721279144287
1666031867648	-1.577778935432434	5.049371242523193	7.362170219421387
1666031867667	-2.0015525817871094	5.643133640289307	8.310274124145508
1666031867687	-1.6759412288665771	5.171475887298584	9.255983352661133
1666031867707	-1.5753847360610962	5.489904403686523	7.441178798675537
1666031867729	-1.4628572463989258	5.260061264038086	8.250418663024902
1666031867749	-1.8483237028121948	5.497087001800537	7.438784599304199
1666031867766	-1.3455413579940796	4.7836151123046875	8.312667846679688
1666031867787	-1.4460978507995605	5.499481201171875	7.972691535949707
1666031867806	-1.338358759880066	5.2049946784973145	8.506598472595215
1666031867826	-1.6663644313812256	5.468356609344482	8.061277389526367
1666031867848	-1.8124107122421265	5.260061264038086	8.463502883911133
1666031867866	-1.7573440074920654	5.535394191741943	7.474697589874268
1666031867887	-1.8195933103561401	5.329493045806885	7.805097579956055
1666031867906	-1.845929503440857	5.360617637634277	7.642292022705078
1666031867926	-1.7334020137786865	5.365406036376953	7.706935405731201
1666031867947	-2.03507137298584	5.702988624572754	7.704541206359863
1666031867966	-2.0805611610412598	5.365406036376953	7.862558364868164
1666031867985	-1.8579005002975464	5.758055210113525	6.813898086547852
1666031868007	-1.9608511924743652	5.5760955810546875	6.840234279632568
1666031868026	-2.0015525817871094	5.722142219543457	7.876923561096191
1666031868045	-2.0207061767578125	5.281609058380127	7.445967197418213
1666031868068	-2.123656988143921	5.595249176025391	7.869740962982178
1666031868096	-2.1356279850006104	5.386953830718994	7.453149795532227
1666031868105	-2.1068975925445557	5.360617637634277	6.892906665802002
1666031868124	-1.5275006294250488	5.987898349761963	6.8809356689453125
1666031868144	-1.8483237028121948	5.374982833862305	6.497863292694092
1666031868165	-2.454056739807129	4.580107688903809	5.633556365966797
1666031868185	-1.886630892753601	6.189011573791504	6.801927089691162
1666031868205	-3.28963303565979	6.48828649520874	6.572083473205566
1666031868225	-4.094084739685059	5.288791656494141	5.456385612487793
1666031868246	-2.669534921646118	4.623203277587891	6.124367713928223
1666031868267	-2.118868589401245	3.7469255924224854	7.359776020050049
1666031868284	-1.8411411046981812	4.072536945343018	9.378087997436523
1666031868303	-2.1571757793426514	4.81473970413208	11.317391395568848
1666031868334	-0.4141969084739685	4.99669885635376	8.856152534484863
1666031868343	-0.40940847992897034	4.4939165115356445	11.125855445861816
1666031868363	1.4891934394836426	3.339911460876465	11.099518775939941
1666031868383	1.8052281141281128	2.7509377002716064	10.690110206604004
1666031868404	-1.5298948287963867	4.3406877517700195	8.195352554321289
1666031868423	-0.3423708379268646	3.6535518169403076	7.735665798187256
1666031868455	-0.06703764945268631	4.522646903991699	8.327033042907715
1666031868462	-0.8164227604866028	4.381389141082764	8.676587104797363
1666031868485	-0.7326257228851318	4.352658748626709	8.166622161865234
1666031868502	-1.0319008827209473	3.557783842086792	7.532158374786377
1666031868522	-1.1899182796478271	4.572925090789795	6.184223175048828
1666031868542	-1.845929503440857	4.290409564971924	7.673416614532471
1666031868563	-1.6328455209732056	4.307168960571289	9.169792175292969
1666031868583	-1.2880805730819702	4.1156325340271	9.619902610778809
1666031868602	-2.298433542251587	3.184288263320923	9.801861763000488
1666031868621	0.5817909836769104	3.2537200450897217	10.706870079040527
1666031868641	-0.0454898327589035	4.077325344085693	11.66694450378418
1666031868665	-0.5674257874488831	3.4165258407592773	11.298237800598145
1666031868683	0.021547814831137657	3.514688014984131	11.33654499053955
1666031868702	-0.8475474119186401	3.7660791873931885	10.754754066467285
1666031868721	-3.1292216777801514	3.7469255924224854	10.769119262695312
1666031868740	1.6974890232086182	4.874594688415527	9.835380554199219
1666031868761	0.2346317619085312	4.137180328369141	7.577648162841797
1666031868780	-0.33997663855552673	4.417302131652832	4.218583583831787
1666031868800	-1.039083480834961	3.9480385780334473	4.2329487800598145
1666031868821	-1.2114660739898682	4.599261283874512	8.825027465820312
1666031868841	0.2059013396501541	4.920084476470947	12.435483932495117
1666031868861	-0.6440402865409851	4.345476150512695	11.130643844604492
1666031868881	0.15083470940589905	4.228160381317139	9.44752025604248
