Trial:	c2_gyroscope_t1.txt
Phone/Tablet Model:	Samsung SM-A515F

Sensor Information
Name:	STM LSM6DSL Gyroscope
Maximum Range:	17.453032rad/sec
Resolution:	6.1086525E-4rad/sec

Generated by SensorData, Version1.8.3.4
Author: Vipul Lugade
Email: SensorDataHelp@gmail.com
Website: www.matlabgeeks.com

Unix Time (ms since Jan 1, 1970)	X	Y	Z
1666033460560	0.3072652220726013	-0.2070833146572113	-0.30604347586631775
1666033460580	0.3805690407752991	-0.08918632566928864	-0.04581489413976669
1666033460599	0.09834930300712585	-0.06841690838336945	0.21930062770843506
1666033460619	-0.13439035415649414	-0.07269296050071716	0.29565876722335815
1666033460640	-0.15577064454555511	-0.17287486791610718	0.21074850857257843
1666033460660	-0.1007927656173706	-0.22113321721553802	0.09224065393209457
1666033460682	0.0	-0.13927727937698364	0.04153883829712868
1666033460709	0.18448130786418915	0.04337143152952194	-0.018936822190880775
1666033460719	0.33047810196876526	0.05803219974040985	-0.09834930300712585
1666033460740	0.32620203495025635	0.06780604273080826	-0.16065755486488342
1666033460759	0.12278391420841217	0.02687807008624077	-0.17776179313659668
1666033460779	0.02382374368607998	-0.14233160018920898	-0.1362229436635971
1666033460800	-0.04337143152952194	-0.2431243658065796	-0.09224065393209457
1666033460820	-0.10262536257505417	-0.2730567753314972	-0.056810468435287476
1666033460840	-0.11545353382825851	-0.2321287989616394	-0.028099801391363144
1666033460860	-0.06902777403593063	-0.10812314599752426	-0.05925392732024193
1666033460880	0.018325956538319588	-0.01160643994808197	-0.10506882518529892
1666033460899	0.04398229718208313	-0.009162978269159794	-0.08185594528913498
1666033460920	-0.009773843921720982	-0.028099801391363144	-0.04459316283464432
1666033460939	-0.09285151958465576	-0.03848451003432274	-0.01466076634824276
1666033460959	-0.1313360333442688	0.01466076634824276	0.0024434609804302454
1666033460979	-0.1215621829032898	-0.005497787147760391	0.031154127791523933
1666033461000	-0.09896016865968704	-0.027488935738801956	0.04214970022439957
1666033461019	-0.10567969083786011	-0.04337143152952194	0.01466076634824276
